Role,Company,City,Grouped City,State,Month posted,No. of days ago,Level,Job type,Job function,Industry
HR Data Analyst - Senior Associate,Paytm,Noida,Noida,Uttar Pradesh,November,28,Associate,Full-time,Human Resources,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst - BFSI,HuQuo,New Delhi,New Delhi,Delhi,October,31,Entry level,Full-time,Information Technology,Human Resources
Data Analyst - Adobe Analytics,BrandMuscle,Noida,Noida,Uttar Pradesh,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Marketing and Advertising, and Computer Software"
Jivo Wellness - Data Analyst,Jivo Wellness,New Delhi,New Delhi,Delhi,September,62,Entry level,Full-time,Information Technology,Food and Beverage Services
Data Analyst,Cynosure Corporate Solutions,Chennai,Chennai,Tamil Nadu,November,28,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Sr Data Analyst,Xerago,Mumbai,Mumbai,Maharashtra,November,4,Associate,Full-time,Information Technology,Marketing and Advertising
Data Analyst,Diverse Lynx,Pune,Pune,Maharashtra,September,62,Associate,Contract,Information Technology,Computer Software
Supply Chain & Data Science Analyst,HP,Chennai,Chennai,Tamil Nadu,November,3,Not Applicable,Full-time,Management and Manufacturing,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Computer Software"
Data Subject Matter Experts,TrueTech Solutions,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Part-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Management Consulting"
Product Data Analyst I,Phenom,Hyderabad,Hyderabad,Telangana,November,14,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Sr. Data Analyst,Zscaler,Bengaluru,Bengaluru,Karnataka,November,4,Mid-Senior level,Full-time,Engineering,Computer and Network Security
"Senior Data Analyst, Bangalore",Nielsen,Bengaluru,Bengaluru,Karnataka,November,3,Not Applicable,Full-time,Information Technology,Market Research and Management Consulting
Senior Data Analyst,Postman,Bengaluru,Bengaluru,Karnataka,November,14,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Management and Analysis Services Analyst I,Conduent,Noida,Noida,Uttar Pradesh,November,21,Not Applicable,Full-time,Sales,Management Consulting
Data Analyst,2COMS Consulting Pvt. Ltd.,Chennai,Chennai,Tamil Nadu,November,14,Executive,Full-time,Information Technology,Insurance
Decision Support Data Analyst - India WQBRAIN,WorldQuant,Mumbai,Mumbai,Maharashtra,October,31,Entry level,Full-time,"Research, Analyst, and Information Technology","IT Services and IT Consulting, Computer Software, and Financial Services"
Data Engineering Analyst - Multiple Locations,Optum,Hyderabad,Hyderabad,Telangana,September,62,Entry level,Full-time,Engineering and Information Technology,"IT Services and IT Consulting, Computer Software, and Hospitals and Health Care"
Data Analyst - SQL/Power BI,Right Track Corporate Services,Bengaluru,Bengaluru,Karnataka,November,28,Associate,Full-time,Information Technology,Facilities Services
"MTS 1, Business/Data Systems Analyst",PayPal,Bengaluru,Bengaluru,Karnataka,November,5,Not Applicable,Full-time,Engineering and Information Technology,"Computer Software, Internet Publishing, and Financial Services"
Data Security Analyst,Infosys,Bengaluru,Bengaluru,Karnataka,November,5,Associate,Full-time,Information Technology,IT Services and IT Consulting
